entry_id	entry_type	source_text	alt_source_text	source_lang	unified_ipa	gujarati_translation	category	task_use	start_time	end_time	notes	source_file
T2-0001	token	hai		hindi	hɛ	છે	aux	task2.1+task2.2_support			common copula	hinglish_ipa_mapping_starter.csv
T2-0002	token	hain		hindi	hɛ̃	છે	aux	task2.1+task2.2_support			plural or formal	hinglish_ipa_mapping_starter.csv
T2-0003	token	tha		hindi	tʰaː	હતો	aux	task2.1+task2.2_support			past masculine	hinglish_ipa_mapping_starter.csv
T2-0004	token	thi		hindi	tʰiː	હતી	aux	task2.1+task2.2_support			past feminine	hinglish_ipa_mapping_starter.csv
T2-0005	token	the		hindi	tʰeː	હતા	aux	task2.1+task2.2_support			past plural	hinglish_ipa_mapping_starter.csv
T2-0006	token	main		hindi	mɛ̃	હું	pronoun	task2.1+task2.2_support			first person singular	hinglish_ipa_mapping_starter.csv
T2-0007	token	hum		hindi	ɦəm	અમે	pronoun	task2.1+task2.2_support			first person plural	hinglish_ipa_mapping_starter.csv
T2-0008	token	aap		hindi	aːp	તમે	pronoun	task2.1+task2.2_support			formal second person	hinglish_ipa_mapping_starter.csv
T2-0009	token	tum		hindi	tʊm	તમે	pronoun	task2.1+task2.2_support			informal second person	hinglish_ipa_mapping_starter.csv
T2-0010	token	ye		hindi	jeː	આ	pronoun	task2.1+task2.2_support			proximal	hinglish_ipa_mapping_starter.csv
T2-0011	token	vo		hindi	ʋoː	તે	pronoun	task2.1+task2.2_support			distal	hinglish_ipa_mapping_starter.csv
T2-0012	token	kya		hindi	kjaː	શું	question	task2.1+task2.2_support			interrogative	hinglish_ipa_mapping_starter.csv
T2-0013	token	kaise		hindi	kɛseː	કેવી રીતે	question	task2.1+task2.2_support			interrogative	hinglish_ipa_mapping_starter.csv
T2-0014	token	kyunki		hindi	kjoŋki	કારણ કે	conjunction	task2.1+task2.2_support			causal	hinglish_ipa_mapping_starter.csv
T2-0015	token	aur		hindi	ɔːr	અને	conjunction	task2.1+task2.2_support			additive	hinglish_ipa_mapping_starter.csv
T2-0016	token	lekin		hindi	leːkɪn	પણ	conjunction	task2.1+task2.2_support			contrastive	hinglish_ipa_mapping_starter.csv
T2-0017	token	nahi		hindi	nəɦiː	નહીં	negation	task2.1+task2.2_support			common negative	hinglish_ipa_mapping_starter.csv
T2-0018	token	agar		hindi	əɡər	જો	conjunction	task2.1+task2.2_support			conditional	hinglish_ipa_mapping_starter.csv
T2-0019	token	samajhna		hindi	səməd͡ʒʱnaː	સમજવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0020	token	bolna		hindi	boːlnaː	બોલવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0021	token	sunna		hindi	sʊnnaː	સાંભળવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0022	token	shabd		hindi	ʃəb̪d̪	શબ્દ	noun	task2.1+task2.2_support			common word	hinglish_ipa_mapping_starter.csv
T2-0023	token	bhasha		hindi	bʱaːʂaː	ભાષા	noun	task2.1+task2.2_support			language term	hinglish_ipa_mapping_starter.csv
T2-0024	token	awaaz		hindi	əʋaːz	અવાજ	noun	task2.1+task2.2_support			speech term	hinglish_ipa_mapping_starter.csv
T2-0025	token	dhvani		hindi	d̪ʱʋəni	ધ્વનિ	noun	task2.1+task2.2_support			phonetics term	hinglish_ipa_mapping_starter.csv
T2-0026	token	lecture		english	ˈlɛktʃər	લેકચર	academic	task2.1+task2.2_support			class session	hinglish_ipa_mapping_starter.csv
T2-0027	token	classroom		english	ˈklæsruːm	વર્ગખંડ	academic	task2.1+task2.2_support			environment	hinglish_ipa_mapping_starter.csv
T2-0028	token	speech		english	spiːtʃ	વાણી	speech	task2.1+task2.2_support			domain term	hinglish_ipa_mapping_starter.csv
T2-0029	token	signal		english	ˈsɪɡnəl	સંકેત	speech	task2.1+task2.2_support			domain term	hinglish_ipa_mapping_starter.csv
T2-0030	token	transcript		english	ˈtrænskrɪpt	ટ્રાન્સક્રિપ્ટ	speech	task2.1+task2.2_support			output text	hinglish_ipa_mapping_starter.csv
T2-0031	token	transcription		english	trænˈskrɪpʃən	લિપ્યંતરણ	speech	task2.1+task2.2_support			process	hinglish_ipa_mapping_starter.csv
T2-0032	token	frame		english	freɪm	ફ્રેમ	feature	task2.1+task2.2_support			analysis unit	hinglish_ipa_mapping_starter.csv
T2-0033	token	phoneme		english	ˈfoʊniːm	ધ્વનિમ	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0034	token	vowel		english	ˈvaʊəl	સ્વર	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0035	token	consonant		english	ˈkɑːnsənənt	વ્યંજન	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0036	token	spectrum		english	ˈspɛktrəm	સ્પેક્ટ્રમ	feature	task2.1+task2.2_support			frequency domain	hinglish_ipa_mapping_starter.csv
T2-0037	token	cepstrum		english	ˈkɛpstrəm	કેપ્સ્ટ્રમ	feature	task2.1+task2.2_support			cepstral domain	hinglish_ipa_mapping_starter.csv
T2-0038	token	pitch		english	pɪtʃ	સ્વર ઊંચાઈ	prosody	task2.1+task2.2_support			f0 related	hinglish_ipa_mapping_starter.csv
T2-0039	token	energy		english	ˈɛnərdʒi	ઊર્જા	prosody	task2.1+task2.2_support			intensity related	hinglish_ipa_mapping_starter.csv
T2-0040	token	frequency		english	ˈfriːkwənsi	આવર્તન	prosody	task2.1+task2.2_support			signal property	hinglish_ipa_mapping_starter.csv
T2-0041	token	embedding		english	ɛmˈbɛdɪŋ	એમ્બેડિંગ	model	task2.1+task2.2_support			vector representation	hinglish_ipa_mapping_starter.csv
T2-0042	token	classifier		english	ˈklæsɪfaɪər	ક્લાસિફાયર	model	task2.1+task2.2_support			predictor	hinglish_ipa_mapping_starter.csv
T2-0043	token	stochastic		english	stoʊˈkæstɪk	સ્ટોકાસ્ટિક	model	task2.1+task2.2_support			technical term	hinglish_ipa_mapping_starter.csv
T2-0044	token	alignment		english	əˈlaɪnmənt	સંરેખણ	model	task2.1+task2.2_support			mapping step	hinglish_ipa_mapping_starter.csv
T2-0045	token	denoising		english	diːˈnɔɪzɪŋ	ડીનોઇઝિંગ	preprocess	task2.1+task2.2_support			noise removal	hinglish_ipa_mapping_starter.csv
T2-0046	token	normalization		english	nɔːrmələˈzeɪʃən	નોર્મલાઇઝેશન	preprocess	task2.1+task2.2_support			cleanup step	hinglish_ipa_mapping_starter.csv
T2-0047	token	beam search		english	biːm sɝːtʃ	બીમ સર્ચ	decoding	task2.1+task2.2_support			search method	hinglish_ipa_mapping_starter.csv
T2-0048	token	language identification		english	ˈlæŋɡwɪdʒ aɪˌdɛntɪfɪˈkeɪʃən	ભાષા ઓળખ	decoding	task2.1+task2.2_support			lid task	hinglish_ipa_mapping_starter.csv
T2-0049	token	dynamic time warping		english	daɪˈnæmɪk taɪm wɔːrpɪŋ	ડાયનામિક ટાઈમ વોર્પિંગ	prosody	task2.1+task2.2_support			dtw method	hinglish_ipa_mapping_starter.csv
T2-0050	token	synthesis		english	ˈsɪnθəsɪs	સિન્થેસિસ	tts	task2.1+task2.2_support			generation	hinglish_ipa_mapping_starter.csv
T2-0051	token	speaker		english	ˈspiːkər	વક્તા	speaker	task2.1+task2.2_support			person voice	hinglish_ipa_mapping_starter.csv
T2-0052	token	voice		english	vɔɪs	અવાજ	speaker	task2.1+task2.2_support			person voice	hinglish_ipa_mapping_starter.csv
T2-0053	token	spoof		english	spuːf	નકલી અવાજ	security	task2.1+task2.2_support			anti spoof term	hinglish_ipa_mapping_starter.csv
T2-0054	token	bona fide		english	ˌboʊnə ˈfaɪdi	વાસ્તવિક અવાજ	security	task2.1+task2.2_support			real speech	hinglish_ipa_mapping_starter.csv
T2-0055	token	adversarial		english	ˌædvərˈsɛriəl	એડ્વર્સેરિયલ	robustness	task2.1+task2.2_support			attack related	hinglish_ipa_mapping_starter.csv
T2-0056	token	perturbation		english	ˌpɝːtərˈbeɪʃən	ક્ષુદ્ર વિક્ષેપ	robustness	task2.1+task2.2_support			noise term	hinglish_ipa_mapping_starter.csv
T2-0057	token	तीसरा		hindi	tiːsɾaː	ત્રીજું	discourse	task2.1+task2.2_support			ordinal marker	hinglish_ipa_mapping_manual_expanded.tsv
T2-0058	token	मैं		hindi	mɛ̃	હું	pronoun	task2.1+task2.2_support			first person	hinglish_ipa_mapping_manual_expanded.tsv
T2-0059	token	मेरे		hindi	meːɾe	મારા	pronoun	task2.1+task2.2_support			possessive	hinglish_ipa_mapping_manual_expanded.tsv
T2-0060	token	लिए		hindi	li.e	માટે	postposition	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0061	token	कुछ		hindi	kʊt͡ʃ	કંઈ	quantifier	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0062	token	नहीं		hindi	nəhĩː	નહીં	negation	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0063	token	करूंगा		hindi	kəɾuːŋɡaː	કરીશ	verb	task2.1+task2.2_support			future first person	hinglish_ipa_mapping_manual_expanded.tsv
T2-0064	token	आज		hindi	aːd͡ʒ	આજે	time	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0065	token	मुझे		hindi	mʊd͡ʒʱe	મને	pronoun	task2.1+task2.2_support			oblique form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0066	token	चौबीस		hindi	t͡ʃɔbiːs	ચોવીસ	number	task2.1+task2.2_support			from transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0067	token	साल		hindi	saːl	વર્ષ	time	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0068	token	कालखंड		hindi	kaːlkʰəɳɖ	સમયખંડ	noun	task2.1+task2.2_support			from transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0069	token	रूप		hindi	ɾuːp	રૂપ	noun	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0070	token	देशवासियों		hindi	d̪eːʃʋaːsijõ	દેશવાસીઓ	noun	task2.1+task2.2_support			public audience	hinglish_ipa_mapping_manual_expanded.tsv
T2-0071	token	काम		hindi	kaːm	કામ	noun	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0072	token	दिया		hindi	d̪ijaː	આપ્યું	verb	task2.1+task2.2_support			past form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0073	token	तीन		hindi	tiːn	ત્રણ	number	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0074	token	कसौटी		hindi	kəsɔʈiː	કસોટી	noun	task2.1+task2.2_support			decision criterion	hinglish_ipa_mapping_manual_expanded.tsv
T2-0075	token	अपने		hindi	əpne	પોતાના	pronoun	task2.1+task2.2_support			reflexive possessive	hinglish_ipa_mapping_manual_expanded.tsv
T2-0076	token	आप		hindi	aːp	પોતે	pronoun	task2.1+task2.2_support			reflexive in this context	hinglish_ipa_mapping_manual_expanded.tsv
T2-0077	token	तोल		hindi	toːl	તોલ	noun	task2.1+task2.2_support			scale or weighing	hinglish_ipa_mapping_manual_expanded.tsv
T2-0078	token	रखा		hindi	ɾəkʰaː	રાખ્યું	verb	task2.1+task2.2_support			past form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0079	token	इंस्पिरेशन		english_loan	ɪnspɪɾeːʃən	પ્રેરણા	abstract	task2.1+task2.2_support			borrowed English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0080	token	आवश्यकता		hindi	əʋəʃjəktaː	જરૂરિયાત	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0081	token	सेवा		hindi	seːʋaː	સેવા	service	task2.1+task2.2_support			public service	hinglish_ipa_mapping_manual_expanded.tsv
T2-0082	token	ऊर्जा		hindi	uːɾd͡ʒaː	ઊર્જા	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0083	token	इंजीनियर		english_loan	ɪnd͡ʒɪˈnɪəɾ	ઇજનેર	profession	task2.1+task2.2_support			borrowed English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0084	token	person		english	pɜːsən	વ્યક્તિ	common	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0085	token	loves		english	ləvz	પ્રેમ કરે છે	common	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0086	token	mathematics		english	mɛθəˈmætɪks	ગણિત	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0087	token	रामानुजन		hindi_name	ɾaːmaːnud͡ʒən	રામાનુજન	name	task2.1+task2.2_support			proper noun	hinglish_ipa_mapping_manual_expanded.tsv
T2-0088	token	Indian		english	ɪnɖijən	ભારતીય	identity	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0089	token	mathematician		english	mæθəməˈtɪʃən	ગણિતજ્ઞ	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0090	token	science		english	saɪəns	વિજ્ઞાન	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0091	token	spirituality		english	spɪɾɪtʃuˈælɪʈi	આધ્યાત્મિકતા	abstract	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0092	token	connection		english	kəˈnɛkʃən	સંબંધ	abstract	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0093	token	scientific		english	saɪənˈtɪfɪk	વૈજ્ઞાનિક	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0094	token	advanced		english	ədˈvaːnst	પ્રગતિશીલ	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0095	token	minds		english	maɪndz	મનોવૃત્તિઓ	abstract	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0096	token	कट		english_loan	kʌʈ	અલગ	action	task2.1+task2.2_support			code-switched use	hinglish_ipa_mapping_manual_expanded.tsv
T2-0097	token	off		english	ɔf	અલગ	particle	task2.1+task2.2_support			in phrase cut off	hinglish_ipa_mapping_manual_expanded.tsv
T2-0098	token	श्रीनिवास		hindi_name	ʃɾiːniʋaːs	શ્રીનિવાસ	name	task2.1+task2.2_support			proper noun	hinglish_ipa_mapping_manual_expanded.tsv
T2-0099	token	कहते		hindi	keːhte	કહેતા	verb	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0100	token	उन्हें		hindi	ʊnʱẽ	તેમને	pronoun	task2.1+task2.2_support			oblique plural	hinglish_ipa_mapping_manual_expanded.tsv
T2-0101	token	mathematical		english	mæθəˈmætɪkəl	ગણિતीय	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0102	token	ideas		english	aɪˈdɪəz	વિચારો	abstract	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0103	token	देवी		hindi	deːʋiː	દેવી	spiritual	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0104	token	पूजा		hindi	puːd͡ʒaː	પૂજા	spiritual	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0105	token	तपस्या		hindi	t̪əpəsjaː	તપસ્યા	spiritual	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0106	token	hard work		english	haːɾɖ wɜːk	કઠિન મહેનત	work	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0107	token	खुद		hindi	kʰʊd̪	પોતે	pronoun	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0108	token	खपा		hindi	kʰəpaː	સમર્પિત કરી દેવું	verb	task2.1+task2.2_support			contextual sense	hinglish_ipa_mapping_manual_expanded.tsv
T2-0109	token	knowledge		english	nɑlɪd͡ʒ	જ્ઞાન	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0110	token	sources		english	sɔːɾsɪz	સ્ત્રોતો	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0111	token	open		english	oːpən	ખુલ્લા	descriptor	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0112	token	information		english	ɪnfəɾˈmeːʃən	માહિતી	academic	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0113	token	फर्क		hindi	fəɾk	ફરક	noun	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0114	token	समझना		hindi	səməd͡ʒʱnaː	સમજવું	verb	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0115	token	विधा		hindi	ʋɪd̪ʱaː	વિભાગ અથવા પદ્ધતિ	noun	task2.1+task2.2_support			knowledge genre	hinglish_ipa_mapping_manual_expanded.tsv
T2-0116	token	processing		english	pɾaːsɛsɪŋ	પ્રક્રિયા કરવું	process	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0117	token	धीरे		hindi	d̪ʱiːɾe	ધીમે	manner	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0118	token	evolve		english	iˈʋɔlʋ	વિકસવું	process	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0119	token	politician		english	pɑlɪˈʈɪʃən	રાજકારણી	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0120	token	district		english	ɖɪsˈʈɾɪkʈ	જિલ્લો	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0121	token	रात्रि		hindi	ɾaːtɾi	રાત્રિ	time	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0122	token	मुकाम		hindi	mʊkaːm	મુકામ	noun	task2.1+task2.2_support			from transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0123	token	grassroot		english	ɡɾaːsɾuːʈ	ધરાતળનું	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0124	token	level		english	lɛʋəl	સ્તર	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0125	token	first hand		english	fɝsʈ hænɖ	પ્રત્યક્ષ	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0126	token	निर्णय		hindi	nɪɾɳəj	નિર્ણય	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0127	token	तराजू		hindi	təɾaːd͡zuː	તારાજુ	governance	task2.1+task2.2_support			decision metaphor	hinglish_ipa_mapping_manual_expanded.tsv
T2-0128	token	देश		hindi	d̪eːʃ	દેશ	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0129	token	गरीब		hindi	ɡəɾiːb	ગરીબ	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0130	token	चेहरा		hindi	t͡ʃeːhɾaː	ચહેરો	noun	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0131	token	सही		hindi	səhiː	યોગ્ય	descriptor	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0132	token	information channel		english	ɪnfəɾˈmeːʃən tʃɛnəl	માહિતી ચેનલ	governance	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0133	token	brief		english	bɾiːf	બ્રીફ	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0134	token	निर्भर		hindi	nɪɾbʱəɾ	આધારિત	descriptor	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0135	token	विद्यार्थी		hindi	ʋɪd̪jaːɾtʰiː	વિદ્યાર્થી	education	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0136	token	भाव		hindi	bʱaːʋ	ભાવ	abstract	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0137	token	देविल advocate		mixed	dɛʋəlz ˈædʋəkeːʈ	ડેવિલ્સ એડ્વોકેટ	argument	task2.1+task2.2_support			code-switched phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0138	token	उल्टे		hindi	ʊlʈe	ઉલટા	descriptor	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0139	token	प्रश्न		hindi	pɾəʃn	પ્રશ્ન	education	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0140	token	बारीकी		hindi	baːɾiːkiː	સૂક્ષ્મતા	analysis	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0141	token	मंथन		hindi	mən̪t̪ʰən	મંથન	analysis	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0142	token	reaction		english	ɾiˈækʃən	પ્રતિક્રિયા	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0143	token	convince		english	kənˈʋɪns	વિશ્વાસમાં આવવું	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0144	token	process		english	pɾaːsɛs	પ્રક્રિયા	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0145	token	speed		english	spiːɖ	ઝડપ	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0146	token	corona		english_loan	koːɾoːnaː	કોરોના	health	task2.1+task2.2_support			borrowed English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0147	token	economist		english	iˈkɑnəmɪst	અર્થશાસ્ત્રી	economy	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0148	token	political parties		english	pəˈlɪʈɪkəl paːɾʈiz	રાજકીય પક્ષો	governance	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0149	token	pressure		english	pɾɛʃəɾ	દબાણ	economy	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0150	token	भूखा		hindi	bʱuːkʰaː	ભૂખ્યો	state	task2.1+task2.2_support			common	hinglish_ipa_mapping_manual_expanded.tsv
T2-0151	token	social tension		english	soːʃəl tɛnʃən	સામાજિક તણાવ	governance	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0152	token	lockdown		english	lɑkɖaːʊn	લોકડાઉન	health	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0153	token	expert opinion		english	ɛkspɜːʈ əˈpɪnjən	નિષ્ણાત મત	analysis	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0154	token	परिस्थिति		hindi	pəɾɪst̪ʰɪt̪i	પરિસ્થિતિ	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0155	token	inflation		english	ɪnˈfleːʃən	મૂલ્યવૃદ્ધિ	economy	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0156	token	संकट		hindi	səŋkəʈ	સંકટ	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0157	token	theory		english	θiəɾi	સિદ્ધાંત	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0158	token	basic		english	beːsɪk	મૂળભૂત	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
