entry_id	entry_type	source_text	alt_source_text	source_lang	unified_ipa	gujarati_translation	category	task_use	start_time	end_time	notes	source_file
T2-0159	token	fundamental		english	fʌnɖəˈmɛnʈəl	મૂલ આધાર	economy	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0160	token	focus		english	foːkəs	ફોકસ	analysis	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0161	token	risk taking capacity		english	ɾɪsk ʈeːkɪŋ kəˈpæsɪʈi	જોખમ લેવાની ક્ષમતા	governance	task2.1+task2.2_support			embedded English phrase	hinglish_ipa_mapping_manual_expanded.tsv
T2-0162	token	ownership		english	oːnəɾʃɪp	માલિકી	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0163	token	गलती		hindi	ɡəlt̪i	ભૂલ	common	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0164	token	जिम्मा		hindi	d͡zɪmmaː	જવાબદારી	governance	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0165	token	team		english	ʈiːm	ટીમ	governance	task2.1+task2.2_support			embedded English	hinglish_ipa_mapping_manual_expanded.tsv
T2-0166	token	ईमानदारी		hindi	iːmaːnd̪aːɾiː	ઇમાનદારી	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0167	token	सरकार		hindi	səɾkaːɾ	સરકાર	governance	task2.1+task2.2_support			core term	hinglish_ipa_mapping_manual_expanded.tsv
T2-0168	token	अफसर		hindi	əfsəɾ	અધિકારી	governance	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0169	token	ईर्षा		hindi	iːɾʂjaː	ઇર્ષ્યા	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0170	token	तकलीफ		hindi	t̪əkliːf	તકલીફ	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0171	token	जानकारी		hindi	d͡ʒaːnkaːɾiː	માહિતી	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0172	token	आदर		hindi	aːd̪əɾ	આદર	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0173	token	महात्मा गांधी		hindi_name	məɦaːtmaː ɡaːnd̪ʱiː	મહાત્મા ગાંધી	name	task2.1+task2.2_support			reference in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0174	token	मंत्र		hindi	mənt̪ɾ	મંત્ર	abstract	task2.1+task2.2_support			common in transcript	hinglish_ipa_mapping_manual_expanded.tsv
T2-0175	token	ग्रासरूट		mixed	ɡɾaːsɾuːʈ	ધરાતળનું	governance	task2.1+task2.2_support			romanized loan form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0176	token	गोवर्नेंस		english_loan	ɡʌʋəɾnəns	શાસન	governance	task2.1+task2.2_support			romanized loan form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0177	token	फंडामेंटल		english_loan	fʌnɖəˈmɛnʈəl	મૂળભૂત આધાર	analysis	task2.1+task2.2_support			romanized loan form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0178	token	कैपेसिटी		english_loan	kəˈpæsɪʈi	ક્ષમતા	analysis	task2.1+task2.2_support			romanized loan form	hinglish_ipa_mapping_manual_expanded.tsv
T2-0179	segment	तीसरा मैं कहता था मेरे लिए मैं कुछ नहीं करूंगा आज मुझे चौबीस साल हो गए		mixed_hinglish	tiːsɾaː mɛ̃ keːhtaː tʰaː meːɾe li.e mɛ̃ kʊt͡ʃ nəhĩː kəɾuːŋɡaː | aːd͡ʒ mʊd͡ʒʱe t͡ʃɔbiːs saːl hoː ɡəe	ત્રીજું, હું કહતો હતો કે હું મારા માટે કંઈ નહીં કરું; આજે મને ચોવીસ વર્ષ થઈ ગયા છે.	lecture_excerpt	task2.1+task2.2_primary	02:21:08	02:21:17	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0180	segment	इतने लंबे कालखंड से मैं head of the government के रूप में काम कर रहा हूं		mixed_hinglish	ɪtne ləmbe kaːlkʰəɳɖ se mɛ̃ hɛɖ ɔf ðə ɡəvənməɳʈ ke ɾuːp mẽ kaːm kəɾ ɾəhaː hũ	આટલા લાંબા સમયથી હું સરકારના વડા તરીકે કામ કરું છું.	lecture_excerpt	task2.1+task2.2_primary	02:21:17	02:21:23	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0181	segment	देशवासियों ने मुझे काम दिया है मेरे इन तीन कसौटियों पर मैंने अपने आप को तोल कर रखा है और मेरी inspiration लोगों की सेवा उनकी aspiration और उनकी आवश्यकता है		mixed_hinglish	d̪eːʃʋaːsijõ ne mʊd͡ʒʱe kaːm d̪ijaː hɛ | meːɾe ɪn tiːn kəsɔʈijõ pəɾ mɛ̃ne əpne aːp ko toːl kəɾ ɾəkʰaː hɛ | ɔɾ meːɾi ɪnspɪɾeːʃən loːɡõ ki seːʋaː ʊnki æspɪɾeːʃən ɔɾ ʊnki əʋəʃjəktaː hɛ	દેશવાસીઓએ મને કામ આપ્યું છે; હું મારા કામને ત્રણ કસોટીઓ પર તોલું છું, અને મારી પ્રેરણા લોકોની સેવા, તેમની આકાંક્ષા અને તેમની જરૂરિયાત છે.	lecture_excerpt	task2.1+task2.2_primary	02:21:23	02:21:37	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0182	segment	आज भी मेरी ऊर्जा वही है जी मी एज एन engineer अ person who loves mathematics		mixed_hinglish	aːd͡ʒ bʱiː meːɾi uːɾd͡ʒaː ʋəɦiː hɛ | d͡ʒiː miː eːd͡ʒ ɛn ɪnd͡ʒɪˈnɪəɾ ə pɜːsən huː ləvz mɛθəˈmætɪks	આજે પણ મારી ઊર્જા એ જ છે; હું એક ઇજનેર છું અને ગણિતને પ્રેમ કરનાર વ્યક્તિ છું.	lecture_excerpt	task2.1+task2.2_primary	02:21:37	02:21:55	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0183	segment	रामानुजन एक Indian mathematician थे और मैं उनका बहुत आदर करता हूं क्योंकि science और spirituality के बीच बड़ा connection है		mixed_hinglish	ɾaːmaːnud͡ʒən eːk ɪnɖijən mæθəməˈtɪʃən tʰeː | ɔɾ mɛ̃ ʊnkaː bəhʊt aːd̪əɾ kəɾtaː hũ kjõki saɪəns ɔɾ spɪɾɪtʃuˈælɪʈi ke biːt͡ʃ bəɽaː kəˈnɛkʃən hɛ	રામાનુજન એક ભારતીય ગણિતજ્ઞ હતા; હું તેમનો ઘણો આદર કરું છું, કારણ કે વિજ્ઞાન અને આધ્યાત્મ વચ્ચે ઊંડો સંબંધ છે.	lecture_excerpt	task2.1+task2.2_primary	02:21:55	02:22:15	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0184	segment	बहुत से scientific advanced minds spiritual भी होते हैं वह cut off नहीं होते हैं		mixed_hinglish	bəhʊt se saɪənˈtɪfɪk ədˈvaːnst maɪndz spɪɾɪtʃuəl bʱiː hoːte hɛ̃ | ʋeː kʌʈ ɔf nəhĩː hoːte hɛ̃	ઘણા વૈજ્ઞાનિક રીતે પ્રગતિશીલ મનોવૃત્તિ ધરાવતા લોકો આધ્યાત્મિક પણ હોય છે; તેઓ સંપૂર્ણપણે અલગ પડેલા નથી.	lecture_excerpt	task2.1+task2.2_primary	02:22:15	02:22:31	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0185	segment	श्रीनिवास रामानुजम कहते थे कि उन्हें mathematical ideas उस देवी से आते हैं जिसकी वह पूजा करते हैं और तपस्या सिर्फ hard work नहीं है		mixed_hinglish	ʃɾiːniʋaːs ɾaːmaːnud͡ʒəm keːhte tʰeː ki ʊnʱẽ mæθəməˈtɪkəl aɪˈdɪəz ʊs deːʋi se aːte hɛ̃ d͡ʒiski ʋəɦ puːd͡ʒaː kəɾte hɛ̃ | ɔɾ t̪əpəsjaː sɪɾf haːɾɖ wɜːk nəhĩː hɛ	શ્રીનિવાસ રામાનુજમ કહેતા હતા કે તેમને ગણિતીય વિચારો તેમની પૂજ્ય દેવી પાસેથી મળે છે, અને તપસ્યા માત્ર કઠિન મહેનત નથી.	lecture_excerpt	task2.1+task2.2_primary	02:22:31	02:22:56	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0186	segment	एक काम के लिए खुद को खपा देना और knowledge के जितने ज्यादा sources के लिए अपने open होंगे उतने ज्यादा ideas आएंगे		mixed_hinglish	eːk kaːm ke li.e kʰʊd̪ ko kʰəpaː d̪eːnaː | ɔɾ nɑlɪd͡ʒ ke d͡ʒɪtne d͡ʒjaːd̪aː sɔːɾsɪz ke li.e əpne oːpən hõge ʊtne d͡ʒjaːd̪aː aɪˈdɪəz aːẽge	એક કાર્ય માટે પોતાને સમર્પિત કરી દેવું જોઈએ; અને જેટલા વધુ જ્ઞાનના સ્ત્રોતો માટે આપણે ખુલ્લા થઈશું, એટલા વધુ વિચારો આવશે.	lecture_excerpt	task2.1+task2.2_primary	02:22:56	02:23:20	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0187	segment	information और knowledge के बीच फर्क समझना चाहिए knowledge एक विधा है जो processing के बाद धीरे धीरे evolve होती है		mixed_hinglish	ɪnfəɾˈmeːʃən ɔɾ nɑlɪd͡ʒ ke biːt͡ʃ fəɾk səməd͡ʒʱnaː tʃaːhi.e | nɑlɪd͡ʒ eːk ʋɪd̪ʱaː hɛ d͡ʒoː pɾaːsɛsɪŋ ke baːd̪ d̪ʱiːɾe d̪ʱiːɾe iˈʋɔlʋ hoːti hɛ	માહિતી અને જ્ઞાન વચ્ચેનો ફરક સમજવો જોઈએ; જ્ઞાન એક એવી પ્રક્રિયાથી વિકસે છે જે ધીમે ધીમે પરિપક્વ બને છે.	lecture_excerpt	task2.1+task2.2_primary	02:23:20	02:23:43	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0188	segment	मैं ऐसा politician हूं जिसने 85 से 90 district में रात्रि मुकाम किया है इसलिए मेरे पास grassroot level की first hand information है		mixed_hinglish	mɛ̃ ɛsaː pɑlɪˈʈɪʃən hũ d͡ʒɪsne pət͡ʃaːsiː se nəʋe ɖɪsˈʈɾɪkʈ mẽ ɾaːtɾi mʊkaːm kɪjaː hɛ | ɪsli.e meːɾe paːs ɡɾaːsɾuːʈ lɛʋəl ki fɝsʈ hænɖ ɪnfəɾˈmeːʃən hɛ	હું એવો રાજકારણી છું જેણે 85થી 90 જિલ્લાઓમાં રાત્રિ મુકામ કર્યો છે; તેથી મારી પાસે ધરાતળ સ્તરની પ્રત્યક્ષ માહિતી છે.	lecture_excerpt	task2.1+task2.2_primary	02:24:20	02:24:59	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0189	segment	निर्णय करने में मेरा तराजू है देश सबसे पहले और अगर उलझन हो तो गरीब का चेहरा याद करो तब निर्णय सही होगा		mixed_hinglish	nɪɾɳəj kəɾne mẽ meːɾaː təɾaːd͡zuː hɛ d̪eːʃ səbse pəhle | ɔɾ əɡəɾ ʊld͡ʒʱən hoː toː ɡəɾiːb kaː t͡ʃeːhɾaː jaːd̪ kəɾoː t̪əb nɪɾɳəj səhiː hoːɡaː	નિર્ણય કરતી વખતે મારી કસોટી એ છે કે દેશ સૌ પ્રથમ આવે; અને જો મૂંઝવણ હોય તો ગરીબ માણસનો ચહેરો યાદ કરવો, ત્યારે નિર્ણય યોગ્ય બને.	lecture_excerpt	task2.1+task2.2_primary	02:25:07	02:25:55	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0190	segment	मेरे information channel बहुत हैं मैं brief पर निर्भर नहीं रहता विद्यार्थी भाव से पूछता हूं और कभी devil advocate बनकर उल्टे प्रश्न भी करता हूं		mixed_hinglish	meːɾe ɪnfəɾˈmeːʃən tʃɛnəl bəhʊt hɛ̃ | mɛ̃ bɾiːf pəɾ nɪɾbʱəɾ nəhĩː ɾehtaː | ʋɪd̪jaːɾtʰi bʱaːʋ se puːt͡ʃt̪aː hũ ɔɾ kəbʱi dɛʋəlz ˈædʋəkeːʈ bənkəɾ ʊlʈe pɾəʃn bʱiː kəɾtaː hũ	મારા માહિતી ચેનલો બહુ છે; હું માત્ર બ્રીફ પર આધાર રાખતો નથી, વિદ્યાર્થીભાવથી પૂછું છું અને ક્યારેક ડેવિલ્સ એડ્વોકેટ બનીને ઉલ્ટા પ્રશ્નો પણ કરું છું.	lecture_excerpt	task2.1+task2.2_primary	02:26:04	02:26:54	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0191	segment	बहुत बारीकी से मंथन करना पड़ता है reaction देखता हूं और जब convince हो जाता हूं तो process बहुत speed से चलती है		mixed_hinglish	bəhʊt baːɾiːki se mən̪t̪ʰən kəɾnaː pəɽt̪aː hɛ | ɾiˈækʃən d̪eːkʰt̪aː hũ | ɔɾ d͡ʒəb kənˈʋɪns hoː d͡ʒaːt̪aː hũ toː pɾaːsɛs bəhʊt spiːɖ se t͡ʃəlt̪i hɛ	ઘણી બારીકીથી મંથન કરવું પડે છે; હું પ્રતિક્રિયાઓ જોઉં છું, અને જ્યારે મને વિશ્વાસ થાય છે ત્યારે પ્રક્રિયા ખૂબ ઝડપથી આગળ વધે છે.	lecture_excerpt	task2.1+task2.2_primary	02:27:00	02:27:44	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
T2-0192	segment	corona के समय economist और political parties pressure डालते थे लेकिन मैंने गरीब को भूखा सोने नहीं देने और social tension न बढ़ने देने का निर्णय किया		mixed_hinglish	koːɾoːnaː ke səmaj iˈkɑnəmɪst ɔɾ pəˈlɪʈɪkəl paːɾʈiz pɾɛʃəɾ ɖaːlte tʰeː | leːkɪn mɛ̃ne ɡəɾiːb ko bʱuːkʰaː soːne nəhĩː d̪eːne ɔɾ soːʃəl tɛnʃən nə bəɽʱne d̪eːne kaː nɪɾɳəj kɪjaː	કોરોના સમય દરમિયાન અર્થશાસ્ત્રીઓ અને રાજકીય પક્ષો દબાણ કરતા હતા, પરંતુ મેં ગરીબને ભૂખ્યા સુવા ન દેવાનો અને સામાજિક તણાવ ન વધવા દેવાનો નિર્ણય કર્યો.	lecture_excerpt	task2.1+task2.2_primary	02:27:54	02:28:45	segment extracted from corrected transcript	original_excerpt_segment_ipa_gujarati.tsv
